lead_id,fecha_contacto,edad,pais_origen,idioma_interes,canal_contacto,interacciones_previas,conversion,dias_a_conversion,monto_compra_usd
193,2025-06-18,28,México,Francés,TikTok,3,1,16.0,1591.83
194,2025-01-17,30,Argentina,Alemán,Instagram,3,1,2.0,1337.33
195,2025-06-22,26,Chile,Inglés,Youtube,2,1,28.0,1202.19
196,2025-02-25,44,Chile,Inglés,TikTok,2,1,25.0,1958.65
197,2025-04-10,19,Colombia,Japonés,Instagram,5,0,,
198,2025-07-03,28,Brasil,Inglés,Facebook,2,1,22.0,1375.99
199,2025-04-14,22,Chile,Alemán,Google Ads,2,0,,
200,2025-02-22,42,México,Italiano,Google Ads,2,1,13.0,1821.73
201,2025-02-11,34,Chile,Italiano,Google Ads,4,1,20.0,1267.72
202,2025-02-07,37,Colombia,Japonés,TikTok,2,1,22.0,1137.88
203,2025-06-17,43,Colombia,Alemán,Instagram,1,1,16.0,1173.9
204,2025-02-02,17,Brasil,Alemán,Organico,1,1,2.0,2042.74
205,2025-01-29,25,Chile,Inglés,Organico,5,1,16.0,1507.84
206,2025-03-01,28,México,Alemán,Organico,4,0,,
207,2025-05-11,40,México,Francés,TikTok,1,0,,
208,2025-03-11,36,Argentina,Inglés,Youtube,4,1,20.0,922.84
209,2025-07-09,21,México,Francés,Facebook,4,1,12.0,2452.92
210,2025-06-19,43,Brasil,Japonés,Facebook,5,1,26.0,1115.55
211,2025-06-22,43,Brasil,Italiano,Google Ads,4,1,14.0,1409.92
212,2025-05-10,27,México,Japonés,Google Ads,2,1,4.0,2320.1
213,2025-02-16,27,México,Italiano,Organico,4,0,,
214,2025-03-15,35,Argentina,Japonés,Organico,5,1,22.0,1134.2
215,2025-05-22,26,México,Alemán,Google Ads,5,1,27.0,1467.99
216,2025-04-23,41,Argentina,Francés,Instagram,5,1,29.0,1310.01
217,2025-05-09,38,Argentina,Italiano,Youtube,1,1,25.0,2220.31
218,2025-06-12,43,México,Inglés,Youtube,2,1,27.0,1961.04
219,2025-07-01,40,Colombia,Francés,Youtube,1,1,18.0,1993.92
220,2025-01-11,22,Colombia,Inglés,Youtube,3,1,21.0,1617.16
221,2025-06-16,16,Argentina,Francés,Google Ads,2,1,4.0,1679.23
222,2025-06-11,16,México,Francés,Facebook,4,1,4.0,1313.89
223,2025-05-19,40,Colombia,Japonés,Google Ads,5,0,,
224,2025-02-25,42,México,Italiano,Youtube,3,1,30.0,2381.26
225,2025-03-12,40,México,Italiano,Google Ads,2,1,4.0,1351.84
226,2025-04-25,35,México,Francés,Youtube,1,0,,
227,2025-01-26,28,Chile,Alemán,TikTok,5,1,13.0,1476.23
228,2025-05-21,24,México,Alemán,Organico,1,1,22.0,2060.15
229,2025-04-25,18,Chile,Inglés,Facebook,2,1,16.0,2314.4
230,2025-05-28,22,Argentina,Inglés,TikTok,2,1,23.0,1405.27
231,2025-07-07,21,Colombia,Japonés,Instagram,3,1,11.0,2204.29
232,2025-03-06,23,Colombia,Francés,Google Ads,4,0,,
233,2025-04-14,42,Colombia,Inglés,Instagram,1,0,,
234,2025-01-28,24,Colombia,Inglés,Google Ads,3,1,16.0,1534.17
235,2025-07-01,20,Colombia,Francés,Organico,5,1,1.0,1347.9
236,2025-03-06,16,Colombia,Japonés,TikTok,4,1,13.0,2002.03
237,2025-07-03,34,Colombia,Inglés,Organico,3,1,3.0,1365.96
238,2025-03-24,25,Argentina,Japonés,Youtube,1,1,10.0,912.45
239,2025-06-02,27,México,Italiano,Organico,2,1,16.0,2338.8
240,2025-02-13,39,Brasil,Japonés,Organico,5,0,,
241,2025-04-18,30,Chile,Alemán,Youtube,1,1,23.0,1031.76
242,2025-05-03,42,Brasil,Alemán,Google Ads,4,1,14.0,1198.11
243,2025-03-18,37,Brasil,Japonés,Youtube,4,1,16.0,1705.22
244,2025-06-25,39,México,Alemán,TikTok,2,0,,
245,2025-06-30,24,México,Italiano,Organico,2,0,,
246,2025-01-25,35,México,Francés,Youtube,5,1,4.0,1702.16
247,2025-02-23,32,Colombia,Alemán,Organico,5,1,24.0,2036.68
248,2025-01-25,32,Argentina,Alemán,TikTok,2,0,,
249,2025-03-08,41,Colombia,Japonés,Instagram,2,1,13.0,1186.69
250,2025-02-14,35,Argentina,Italiano,TikTok,4,0,,
251,2025-02-07,27,Argentina,Francés,Facebook,2,1,27.0,1814.96
252,2025-06-01,22,Brasil,Japonés,Facebook,3,1,17.0,1692.51
253,2025-06-10,17,Brasil,Japonés,Facebook,1,1,2.0,1018.57
254,2025-07-09,18,Argentina,Italiano,Organico,2,0,,
255,2025-05-31,32,Argentina,Francés,Google Ads,5,1,22.0,1243.58
256,2025-04-24,20,Colombia,Italiano,Google Ads,3,0,,
257,2025-05-09,32,Colombia,Francés,Google Ads,5,1,5.0,1052.07
258,2025-01-31,39,Brasil,Italiano,Organico,3,1,22.0,1790.95
259,2025-01-21,32,México,Japonés,TikTok,2,1,12.0,1772.73
260,2025-06-01,42,Argentina,Japonés,Google Ads,1,1,14.0,1641.88
261,2025-01-17,32,Colombia,Inglés,Instagram,5,1,7.0,940.67
262,2025-05-27,17,Brasil,Alemán,Facebook,3,1,1.0,1361.14
263,2025-06-26,17,Colombia,Italiano,TikTok,4,0,,
264,2025-02-20,43,Argentina,Inglés,Facebook,2,1,5.0,998.63
265,2025-04-17,37,Argentina,Alemán,Google Ads,1,0,,
266,2025-06-12,38,Chile,Italiano,TikTok,2,1,11.0,1751.7
267,2025-06-09,20,México,Francés,Youtube,4,0,,
268,2025-04-11,16,Chile,Alemán,Instagram,1,1,18.0,2017.14
269,2025-04-17,16,Brasil,Japonés,Google Ads,4,1,17.0,1249.98
270,2025-03-15,34,Colombia,Inglés,Google Ads,2,1,20.0,1651.1
271,2025-02-21,17,Brasil,Alemán,Instagram,3,1,16.0,1341.74
272,2025-06-26,36,Argentina,Alemán,Instagram,2,0,,
273,2025-06-23,27,Chile,Japonés,Youtube,2,1,22.0,1532.78
274,2025-06-07,41,Chile,Italiano,Google Ads,2,1,10.0,1685.04
275,2025-05-16,21,Chile,Francés,Organico,5,0,,
276,2025-07-11,38,Brasil,Japonés,Google Ads,4,1,15.0,2402.57
277,2025-02-18,19,Argentina,Francés,Facebook,4,0,,
278,2025-02-02,38,Colombia,Italiano,TikTok,4,1,27.0,1355.38
279,2025-07-12,26,Colombia,Alemán,TikTok,5,0,,
280,2025-03-24,39,Brasil,Francés,Facebook,3,1,26.0,1637.1
281,2025-05-13,42,Chile,Inglés,TikTok,2,1,12.0,2466.29
282,2025-06-19,32,México,Inglés,Instagram,3,1,2.0,2482.2
283,2025-03-10,21,Brasil,Japonés,TikTok,5,0,,
284,2025-06-29,39,Brasil,Italiano,TikTok,4,1,25.0,2067.08
285,2025-07-02,20,Argentina,Japonés,Facebook,2,1,26.0,2393.46
286,2025-04-08,35,Colombia,Japonés,Youtube,1,1,13.0,1263.81
287,2025-03-23,17,Brasil,Japonés,TikTok,1,0,,
288,2025-02-23,21,Brasil,Inglés,Organico,3,0,,
289,2025-05-06,37,Chile,Inglés,TikTok,4,0,,
290,2025-01-21,26,Chile,Japonés,Youtube,1,1,11.0,1569.41
291,2025-01-30,31,México,Inglés,Facebook,3,1,19.0,1866.58
292,2025-02-26,31,Argentina,Italiano,Youtube,5,1,14.0,2139.16
293,2025-01-24,16,México,Japonés,Facebook,3,0,,
294,2025-07-02,24,Chile,Inglés,Instagram,3,1,7.0,1014.12
295,2025-07-09,43,Colombia,Francés,Facebook,3,1,29.0,1198.77
296,2025-05-12,42,Chile,Japonés,Instagram,2,0,,
297,2025-04-13,21,Argentina,Japonés,Instagram,3,1,7.0,1456.75
298,2025-05-17,31,Chile,Italiano,Facebook,3,1,12.0,1155.02
299,2025-01-11,44,Argentina,Alemán,Organico,2,1,28.0,1071.78
300,2025-04-28,18,Argentina,Alemán,Google Ads,2,1,23.0,1566.23
301,2025-04-07,35,Argentina,Italiano,Facebook,5,0,,
302,2025-04-16,43,Argentina,Italiano,TikTok,4,1,26.0,1652.4
303,2025-06-28,42,Argentina,Italiano,Organico,1,1,8.0,1056.81
304,2025-06-14,19,Colombia,Alemán,Organico,1,1,1.0,2414.02
305,2025-01-22,34,México,Italiano,TikTok,3,1,18.0,1395.97
306,2025-04-29,41,Brasil,Inglés,Google Ads,5,1,30.0,1932.44
307,2025-05-13,18,México,Japonés,Organico,3,1,29.0,1928.05
308,2025-03-08,34,Argentina,Japonés,Instagram,1,1,20.0,1707.61
309,2025-01-31,35,Colombia,Francés,Google Ads,2,1,5.0,2158.07
310,2025-03-19,22,Chile,Francés,TikTok,4,1,26.0,2232.45
311,2025-01-29,35,Colombia,Japonés,Google Ads,5,1,8.0,1831.49
312,2025-03-19,24,Argentina,Inglés,Facebook,2,0,,
313,2025-04-04,16,Colombia,Alemán,Google Ads,4,0,,
314,2025-03-18,23,Colombia,Alemán,Instagram,5,0,,
315,2025-02-28,22,Argentina,Inglés,Facebook,5,1,12.0,1754.44
316,2025-02-08,33,Colombia,Alemán,Youtube,1,1,30.0,2035.85
317,2025-05-20,23,Brasil,Italiano,TikTok,2,1,26.0,1893.33
318,2025-06-25,16,Brasil,Japonés,TikTok,5,1,26.0,2249.22
319,2025-03-25,26,Colombia,Japonés,Google Ads,5,1,1.0,2219.56
320,2025-04-04,43,Chile,Inglés,Organico,4,1,18.0,2294.88
321,2025-05-23,40,Argentina,Alemán,Facebook,1,0,,
322,2025-04-21,40,Brasil,Francés,Youtube,3,1,23.0,998.41
323,2025-03-04,33,Chile,Francés,Facebook,1,1,12.0,1508.24
324,2025-03-22,38,Colombia,Alemán,TikTok,3,0,,
325,2025-04-11,25,Chile,Francés,Facebook,2,1,22.0,2040.83
326,2025-02-16,18,México,Inglés,Youtube,2,0,,
327,2025-05-11,22,Brasil,Inglés,Organico,5,0,,
328,2025-01-16,43,Colombia,Alemán,Google Ads,2,0,,
329,2025-03-13,31,Argentina,Francés,Instagram,5,1,15.0,2088.51
330,2025-04-15,41,Colombia,Inglés,Facebook,1,0,,
331,2025-04-07,31,Argentina,Inglés,Instagram,2,1,10.0,1150.64
332,2025-03-14,40,Colombia,Italiano,TikTok,1,1,30.0,1338.82
333,2025-05-21,35,Chile,Italiano,Google Ads,1,1,6.0,1439.55
334,2025-05-23,43,Chile,Inglés,Google Ads,2,1,11.0,1114.31
335,2025-04-23,32,Chile,Alemán,Facebook,1,1,18.0,1573.82
336,2025-03-27,17,México,Japonés,Organico,2,1,28.0,1189.05
337,2025-02-27,16,Argentina,Japonés,Google Ads,2,0,,
338,2025-07-12,31,Chile,Inglés,Facebook,2,0,,
339,2025-06-25,27,México,Inglés,Facebook,3,0,,
340,2025-04-30,20,Argentina,Inglés,Instagram,1,1,22.0,1628.02
341,2025-06-11,20,Colombia,Alemán,Google Ads,4,0,,
342,2025-02-17,42,México,Italiano,Facebook,2,1,24.0,2165.61
343,2025-01-12,38,Brasil,Inglés,Instagram,1,0,,
344,2025-04-20,24,México,Inglés,Youtube,5,0,,
345,2025-05-26,24,México,Francés,Instagram,2,1,10.0,1613.52
346,2025-04-27,18,Argentina,Alemán,Instagram,2,0,,
347,2025-04-22,34,Colombia,Inglés,Facebook,4,1,6.0,2082.39
348,2025-05-25,31,Brasil,Francés,TikTok,3,1,17.0,2032.58
349,2025-06-16,31,Chile,Japonés,TikTok,3,1,23.0,1500.8
350,2025-01-25,18,Chile,Inglés,Organico,2,1,26.0,1003.05
351,2025-06-29,35,México,Inglés,TikTok,1,0,,
352,2025-02-05,39,Argentina,Francés,Instagram,5,1,10.0,1287.05
353,2025-01-18,37,Argentina,Alemán,Organico,5,1,13.0,2355.14
354,2025-06-16,39,Chile,Inglés,Facebook,1,1,4.0,2136.0
355,2025-01-29,16,Brasil,Japonés,Google Ads,2,0,,
356,2025-03-28,39,Colombia,Inglés,Instagram,5,0,,
357,2025-01-14,35,Brasil,Japonés,Instagram,3,0,,
358,2025-06-12,26,Colombia,Italiano,Organico,1,0,,
359,2025-03-04,32,Chile,Italiano,Facebook,4,1,29.0,1264.55
360,2025-06-10,23,Colombia,Japonés,Youtube,2,1,7.0,1945.92
361,2025-04-25,19,Argentina,Alemán,Instagram,1,1,5.0,2224.53
362,2025-02-01,21,México,Inglés,Youtube,5,1,4.0,1689.61
363,2025-05-05,23,México,Inglés,Youtube,2,0,,
364,2025-06-09,35,Chile,Italiano,TikTok,3,1,26.0,1144.12
365,2025-03-13,18,Argentina,Japonés,Facebook,2,0,,
366,2025-02-21,31,Brasil,Inglés,Youtube,2,1,8.0,2019.54
367,2025-03-01,40,Argentina,Inglés,Facebook,3,1,24.0,1546.75
368,2025-05-17,18,México,Alemán,TikTok,3,1,23.0,1066.99
369,2025-07-05,40,México,Francés,Facebook,2,0,,
370,2025-01-22,44,Argentina,Italiano,Instagram,3,0,,
371,2025-07-09,33,Argentina,Italiano,Youtube,1,0,,
372,2025-05-18,29,México,Francés,Facebook,3,1,1.0,2260.43
373,2025-02-26,33,Brasil,Inglés,Google Ads,3,0,,
374,2025-04-06,17,Chile,Alemán,Facebook,2,1,5.0,2000.64
375,2025-04-09,37,Chile,Alemán,Youtube,1,1,6.0,1164.28
376,2025-03-22,18,Argentina,Italiano,TikTok,4,0,,
377,2025-05-14,31,Chile,Alemán,TikTok,4,1,24.0,1204.73
378,2025-05-30,44,México,Francés,Youtube,5,0,,
379,2025-05-28,24,México,Inglés,Instagram,3,1,21.0,1346.01
380,2025-02-15,19,Argentina,Francés,Instagram,3,1,19.0,1523.45
381,2025-06-25,16,Argentina,Japonés,TikTok,1,0,,
382,2025-04-18,19,Argentina,Italiano,TikTok,4,1,13.0,1519.31
383,2025-03-28,16,Brasil,Alemán,Youtube,5,0,,
384,2025-02-01,29,Chile,Japonés,Instagram,1,1,3.0,2184.75
385,2025-03-19,36,Argentina,Alemán,TikTok,3,1,16.0,2295.53
386,2025-07-12,31,Colombia,Inglés,Instagram,4,1,27.0,2491.24
